Series,Play,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Team,Home/Road,Opponent,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards
1,1,1,14:12,0,1,10.0,-33,Run,01,"""+2x2+"", pistol",,Montgomery,,N/A,N/A,2.0,,,,,IR,,Over,,GB,Home,CHI,0,67,2.0,14,12,,1.0,,0.0,Wide,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,2,1,13:37,0,2,8.0,-35,Pass,21,"""+2x1+"", I-form",,N/A,,Throwaway,Inc.,0.0,,Hard,,,,,Over,4,GB,Home,CHI,0,65,0.0,13,37,2.0,1.0,2.0,0.0,Wide,Wide,0.0,,1.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,3,1,13:30,0,3,8.0,-35,Pass,01,"""*3x1+"", shotgun offset R",,N/A,,Cobb (L1),Catch,11.0,,,M,IS,,,Under,3,GB,Home,CHI,0,65,11.0,13,30,,1.0,,0.0,Normal,Wide,1.0,Right,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,4,1,12:54,0,1,10.0,-46,Pass,01,"""+3x1+"", shotgun offset L",,N/A,,Adams (R1),Catch,9.0,,,RM,S,,,Under,4,GB,Home,CHI,0,54,9.0,12,54,,1.0,,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,5,1,12:22,0,2,1.0,45,Pass,01,"""+2x2+"", shotgun offset R",,N/A,,Cobb (L2),Catch,10.0,,,LM,S,,,Under,4,GB,Home,CHI,0,45,10.0,12,22,,1.0,,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,6,1,11:41,0,1,10.0,35,Run,10,"""+1x2+"", I-form offset L",,Cobb,HB,N/A,N/A,0.0,,,,,IR,,Under,,GB,Home,CHI,0,35,0.0,11,41,1.0,,,0.0,Wide,Wide,0.0,,1.0,Left,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,7,1,11:05,0,2,10.0,35,Pass,12,"""+2x2+"", singleback",TE in,N/A,,Janis (L1),Inc.,0.0,,"Hard, roll",LS,IS,,,Other Odd,4,GB,Home,CHI,0,35,0.0,11,05,1.0,2.0,2.0,0.0,Wide,Wide,0.0,,0.0,,1.0,TE,in,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,8,1,10:57,0,3,10.0,35,Pass,01,"""+3x1+"", shotgun offset R",,N/A,,Adams (R1),Catch,6.0,,,RS,S,,,Over,5,GB,Home,CHI,0,35,6.0,10,57,,1.0,,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,9,1,10:07,0,4,4.0,29,Pass,01,"""+3x2+"", shotgun",RB out,N/A,,Nelson (L3),Catch,9.0,,,LM,S,,,2 Eagle Even,6,GB,Home,CHI,0,29,9.0,10,07,,1.0,,0.0,Wide,Wide,1.0,,0.0,,1.0,RB,out,WR,3,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,10,1,9:29,0,1,10.0,20,Pass,10,"""+1x2+"", I-form offset R",,N/A,,Nelson (R2),Inc.,0.0,,"Hard, roll",RS,S,,,Over,4,GB,Home,CHI,0,20,0.0,9,29,1.0,,,0.0,Wide,Wide,0.0,,1.0,Right,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
1,11,1,9:21,0,2,10.0,20,Pass,00,"""+2x3+"", shotgun",RB out,N/A,,Montgomery (L2),Catch,6.0,,,LS,S,,,Over,4,GB,Home,CHI,0,20,6.0,9,21,,,,0.0,Wide,Wide,1.0,,0.0,,1.0,RB,out,WR,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
1,12,1,9:01,0,3,4.0,14,Pass,00,"""+1x3-"", couple R-, singleback",,N/A,,Cobb (R- CI),Inc.,0.0,,,RM,D,,,Over,4,GB,Home,CHI,0,14,0.0,9,01,,,,0.0,Wide,Narrow,0.0,,0.0,,0.0,,,WR,,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,13,1,6:39,3,1,10.0,-9,Pass,00,"""+3x2+"", shotgun",,N/A,,Janis (L3),"LOS PD, Acho",0.0,,,LM,S,,,Over,4,GB,Home,CHI,0,91,0.0,6,39,,,,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,14,1,6:37,3,2,10.0,-9,Pass,00,"""+1x3-"", bunch R-, shotgun offset L",,N/A,,"Montgomery (L RB, 2)",Catch,12.0,,,LS,S,,,Over,4,GB,Home,CHI,0,91,7.0,6,37,,,,0.0,Wide,Narrow,1.0,Left,0.0,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
2,15,1,5:42,3,1,15.0,-16,Pass,10,"""+1x3+"", singleback",RB out,N/A,,Janis (R3),Catch,7.0,,,M,S,,,Over,4,GB,Home,CHI,0,84,7.0,5,42,1.0,,,0.0,Wide,Wide,0.0,,0.0,,1.0,RB,out,WR,3,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
2,16,1,5:00,3,2,8.0,-23,Pass,00,"""+1x3+"", shotgun offset L",,N/A,,Adams (L1),Catch,12.0,,,LS,IS,,,Under,4,GB,Home,CHI,0,77,12.0,5,00,,,,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
2,17,1,4:19,3,1,10.0,-35,Run,12,"""+2x2+"", singleback",,D. Jackson,,N/A,N/A,1.0,,,,,IR,,Other Odd,,GB,Home,CHI,0,65,1.0,4,19,1.0,2.0,2.0,0.0,Wide,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
2,18,1,3:39,3,2,9.0,-36,Pass,12,"""+2x2+"", singleback",TE in,N/A,,Nelson (R1),Inc.,,"DPI, Amos, +44",Hard,LM,D,,,2 Eagle Even,4,GB,Home,CHI,0,64,44.0,3,39,1.0,2.0,2.0,0.0,Wide,Wide,0.0,,0.0,,1.0,TE,in,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,Defense,DPI,44.0
2,19,1,3:31,3,1,10.0,20,Pass,01,"""+1x3+"", shotgun offset R",,N/A,,Cobb (R2),Catch,2.0,,Soft,WR Screen R,S,,,Over,4,GB,Home,CHI,0,20,2.0,3,31,,1.0,,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
