Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Red_Zone,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Singleback,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Penalty_Team,Penalty_Type,Penalty_Yards,Successful_Pass,Successful_Run,Successful_Play,Field_Goal,Field_Goal_Dist,Sack_TFL,Sack_TFL_Yards,Home/Road
1,MIA,1,13:54,0,1.0,10.0,-38,Pass,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,N/A,,Lockett (BO),N/A,,,,WR Screen R,S,,,Over,5,0,62,0.0,,13,54,1.0,1.0,3.0,0.0,Narrow,Normal,1.0,Left,0.0,,,0.0,,,WR,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,1,10:45,0,2.0,12.0,-31,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Michael (R RB, 2)",Catch,0.0,,,Swing R,S,,,Over,4,0,69,0.0,0.0,10,45,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,1,9:02,0,2.0,9.0,-45,Pass,11,"""*3x1-"", closed R, bunch L*, pistol",,N/A,,Kearse (BO),Catch,5.0,,,WR Screen L,S,,,Over,4,0,55,0.0,5.0,9,02,1.0,1.0,3.0,0.0,Normal,Narrow,0.0,,0.0,,,0.0,,,WR,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,1,7:49,0,1.0,10.0,43,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Baldwin (L3),Catch,14.0,,"Hard, roll",RS,S,,,Over,5,0,43,0.0,14.0,7,49,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,3,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
1,MIA,1,5:56,0,3.0,9.0,16,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,N/A,"Sack, M. Williams",-5.0,,,,,,,Over,4,0,16,1.0,-5.0,5,56,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,1.0,33.0,1.0,-5.0,Home
1,MIA,1,1:09,3,1.0,10.0,-17,Run,11,"""+3x1+"", stack L*, shotgun offset R",,Prosise,,N/A,N/A,-2.0,,,,,M,,Over,,0,83,0.0,-2.0,1,09,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,1.0,-2.0,Home
1,MIA,2,3:57,0,1.0,10.0,-18,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Throwaway,Inc.,0.0,,"Hard, roll",,,,,Over,4,0,82,0.0,0.0,3,57,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,1.0,99.0,0.0,,Home
1,MIA,3,9:37,3,3.0,22.0,-18,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,Lockett (L2),Inc.,0.0,,,WR Screen L,S,,,2 Eagle Even,4,0,82,0.0,0.0,9,37,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,3,7:11,3,1.0,10.0,40,Run,11,"""*3x1-"", closed R, bunch L*, pistol",,Rawls,,N/A,N/A,5.0,,,,,OR,,Over,,0,40,0.0,5.0,7,11,1.0,1.0,3.0,0.0,Normal,Narrow,0.0,,0.0,,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,,1.0,1.0,0.0,,0.0,,Home
1,MIA,3,5:02,3,4.0,1.0,31,Pass,11,"""-1x3+"", closed L, shotgun offset R",,N/A,,Baldwin (R3),Inc.,0.0,,,RS,S,,,Over,4,0,31,0.0,0.0,5,02,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Right,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,3,1:03,3,3.0,7.0,-27,Pass,11,"""-1x3+"", shotgun offset L",,N/A,,Baldwin (R3),Inc.,0.0,"Roughing passer, Wake, +15",,LS,D,,,Over,4,0,73,0.0,15.0,1,03,1.0,1.0,3.0,0.0,Narrow,Wide,1.0,Left,0.0,,,0.0,,,WR,3,Right,0.0,0.0,,0.0,,0.0,Defense,Roughing passer,15.0,,,,0.0,,0.0,,Home
1,MIA,4,10:41,3,1.0,10.0,-20,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"Rawls (R RB, 2)",Catch,6.0,,,RS,S,,,Over,4,0,80,0.0,6.0,10,41,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,Home
1,MIA,4,7:20,3,3.0,6.0,41,Pass,11,"""+3x1*"", shotgun offset R",,N/A,,"Michael (R RB, 2)",Inc.,0.0,,,RS,S,,,Under,4,0,41,0.0,0.0,7,20,1.0,1.0,3.0,0.0,Wide,Normal,1.0,Right,0.0,,,0.0,,,RB,2,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
1,MIA,4,4:08,-4,1.0,10.0,-25,Pass,11,"""+3x1-"", closed R, shotgun offset R",,N/A,,"L. Wilson (R LOS TE, 1)",Inc.,0.0,,,RS,IS,,,Over,4,0,75,0.0,0.0,4,08,1.0,1.0,3.0,0.0,Wide,Narrow,1.0,Right,0.0,,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,Home
