Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards,Home/Road
1,IND,1,9:06,0,1,10.0,-20,Pass,11,"""+2x2+"", shotgun offset R",TE in,N/A,,Tate (R1),Catch,11.0,,Soft,RM,S,,,Other Odd,5,0,80,11.0,9,06,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,1.0,TE,in,TE,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,1,8:02,0,2,6.0,-35,Pass,11,"""+3x1"", shotgun offset R",,N/A,,Boldin (L3),Catch,12.0,"Off. Holding, Tate, -10",,M,S,,,Over,6,0,65,22.0,8,02,1.0,1.0,3.0,0.0,Wide,"""",1.0,Right,0.0,,0.0,,,WR,3,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,Defense,Off. Holding,10.0,Road
1,IND,1,7:10,0,2,6.0,-47,Pass,11,"""+2x2"", shotgun offset L",,N/A,,Tate (R1),Catch,6.0,,,RS,S,,,Under,5,0,53,6.0,7,10,1.0,1.0,3.0,0.0,Wide,"""",1.0,Left,0.0,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,1,6:26,0,1,10.0,47,Pass,11,"""+2x2"", pistol",TE in,N/A,,M. Jones (L1),Inc.,0.0,,Hard,WR Screen L,S,,,Over,4,0,47,0.0,6,26,1.0,1.0,3.0,0.0,Wide,"""",0.0,,0.0,,1.0,TE,in,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
1,IND,1,5:31,0,1,10.0,34,Pass,11,"""-1x3-"", bunch R-, shotgun offset L",,N/A,,"Riddick (L RB, 2)",Catch,13.0,,,LM,S,,,Other Odd,4,0,34,13.0,5,31,1.0,1.0,3.0,0.0,Narrow,Narrow,1.0,Left,0.0,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,1,2:38,7,2,9.0,-21,Pass,11,"""+2x2+"", shotgun offset L",,N/A,,M. Jones (R1),Inc.,0.0,,Soft,RS,IS,,,Over,4,0,79,0.0,2,38,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
1,IND,1,2:32,7,3,9.0,-21,Pass,11,"""-1x3-"", closed L, bunch R-, shotgun offset R",,N/A,,Tate (BO),Catch,3.0,,Soft,WR Screen R,S,,,Under,4,0,79,3.0,2,32,1.0,1.0,3.0,0.0,Narrow,Narrow,1.0,Right,0.0,,0.0,,,TE,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
1,IND,1,0:37,7,2,11.0,-17,Pass,11,"""+1x3+"", shotgun offset L",,N/A,,"Riddick (L RB, 2)",Catch,8.0,,,LM,S,,,Over,4,0,83,8.0,0,37,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Left,0.0,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,2,13:45,7,2,5.0,-36,Pass,21,"""+2x2+"", singleback",,N/A,,M. Jones (L1),Catch,27.0,,Hard,LM,IS,,,Under,4,0,64,27.0,13,45,2.0,1.0,2.0,0.0,Wide,Wide,0.0,,0.0,,0.0,,,WR,1,Left,0.0,1.0,27.0,0.0,,1.0,1.0,,1.0,0.0,,,,0.0,Road
1,IND,2,13:03,7,1,10.0,37,Pass,11,"""+2x2"", shotgun offset R",,N/A,,M. Jones (L1),Inc.,0.0,,,LS,D,,,Over,4,0,37,0.0,13,03,1.0,1.0,3.0,0.0,Wide,"""",1.0,Right,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Road
