Series #,Play #,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Pass Area,Pass Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass
1,1,1,14:33,Tied,1,10,-48,Run,6 OL,"""+1x3-"", dual TE LOS, singleback",,Murray,,,,,,,,,IR,,Under,,,2,,,,,,,,
1,2,1,13:56,Tied,2,5,47,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,,,"Richard (R RB, 3)",Catch,11,,,RM,S,,,Under,5,,12,,,,,,,,
1,3,1,13:16,Tied,1,10,36,Run,6 OL,"""-2x2-"", singleback",,Washington,,,,1,,,,,M,,Under,,,21,,,,,,,,
1,4,1,12:33,Tied,2,9,35,Pass,1,"""+2x2+"", shotgun offset L",WR in,,,Cooper (R1),Catch,21,,,RM,S,,,2 Eagle Even,4,,,,,,,,,,
1,5,1,11:53,Tied,1,10,14,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,,,"Walford (R LOS TE, 2)",Inc.,0,,,RM,IS,,,Under,5,,,,,,,,,,
1,6,1,11:49,Tied,2,10,14,Run,11,"""+3x1-"", closed R, singleback",WR in,Murray,,,,8,,,,,M,,Over,,,,,,,,,,,
1,7,1,11:07,Tied,3,2,6,Pass,11,"""-2x2+"", stack L-, shotgun offset R",WR in,,,Roberts (R2),Catch,1,,,RS,S,,,2 Eagle Even,5,,,,,,,,,,
2,8,1,9:19,Up 3,1,10,-42,Run,6 OL,"""-2x2+"", closed L, dual TE LOS, singleback",TE in,Murray,,,,1,,,,,IL,,Under,,,,,,,,,,,
2,9,1,8:39,Up 3,2,9,-43,Pass,11,"""+1x3+"", shotgun offset L",,,,Roberts (R2),Catch,21,,,RM,ID,,,Over,4,,,,,,,,,,
2,10,1,8:04,Up 3,1,10,36,Run,6 OL,"""-2x2+"", singleback",HB out,Murray,"RG, TE",,,3,,,,,IL,,Over,,,,,,,,,,,
2,11,1,7:22,Up 3,2,7,33,Pass,11,"""+2x2+"", shotgun offset R",,,,Cooper (L1),Inc.,0,,,LM,S,,,Under,5,,,,,,,,,,
2,12,1,7:19,Up 3,3,7,33,Pass,11,"""+2x2+"", shotgun offset R",,,,Holmes (L2),Catch,16,,,LS,IS,,,Over,4,,,,,,,,,,
2,13,1,6:31,Up 3,1,10,17,Pass,11,"""-1x3+"", shotgun offset R",RB bk,,,Cooper (L1),Inc.,,"Def. holding, Roby, +5",,LM,S,,,Under,4,,,,,,,,,,
2,14,1,6:27,Up 3,1,10,12,Pass,11,"""+2x3+"", shotgun",,,,Crabtree (R2),Inc.,0,,,RS,ID,,,Other Odd,3,,,,,,,,,,
2,15,1,6:20,Up 3,2,10,12,Pass,11,"""+2x2+"", shotgun offset R",,,,Cooper (R2),Catch,6,,,RS,S,,,2 Eagle Even,4,,,,,,,,,,
2,16,1,5:35,Up 3,3,4,6,Pass,11,"""+2x2+"", shotgun offset R",,,,,"Sack, Miller",-5,,,,,,,Over,4,,,,,,,,,,
3,17,1,3:35,Up 6,1,10,-43,Pass,6 OL,"""-2x2-"", singleback",,,,Holmes (R1),Catch,11,,"Hard, roll",LS,S,,,Under,4,,,,,,,,,,
3,18,1,2:57,Up 6,1,10,46,Run,12,"""+2x2+"", shotgun offset R",,Richard,,,,2,,,,,M,,Over,,,,,,,,,,,
3,19,1,2:04,Up 6,2,8,44,Pass,6 OL,,RB bk,,,Cooper (L1),Catch,11,,Hard,RM,S,,,2 Eagle Even,4,,,,,,,,,,
3,20,1,1:37,Up 6,1,10,33,Run,6 OL,"""*2x2-"", closed R, dual TE LOS, singleback",TE in,Washington,,,,8,,,,,M,,Under,,,,,,,,,,,
3,21,1,0:59,Up 6,2,2,25,Run,6 OL,"""-3x1*"", closed L, triple TE LOS, singleback",,Murray,,,,6,,,,,M,,Over,,,,,,,,,,,
3,22,1,0:15,Up 6,1,10,19,Pass,10,"""+3x2+"", shotgun",,,,Roberts (R1),Catch,10,,,RM,S,,,Other Even,6,,,,,,,,,,
3,23,2,15:00,Up 6,1,G-9,9,Run,6 OL,"""-3x1+"", closed L, triple TE LOS, singleback",,Murray,,,,8,,,,,IL,,Under,,,,,,,,,,,
