,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,,
Series #,Play #,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass,
1,1,1,14:12,Tied,1,10,-33,Run,01,"""+2x2+"", pistol",,Montgomery,,,,2,,,,,IR,,Over,,,02,,,,,,,,,
1,2,1,13:37,Tied,2,8,-35,Pass,21,"""+2x1+"", I-form",,,,Throwaway,Inc.,0,,Hard,,,,,Over,4,,12,,,,,,,,,
1,3,1,13:30,Tied,3,8,-35,Pass,01,"""*3x1+"", shotgun offset R",,,,Cobb (L1),Catch,11,,,M,IS,,,Under,3,,21,,,,,,,,,
1,4,1,12:54,Tied,1,10,-46,Pass,01,"""+3x1+"", shotgun offset L",,,,Adams (R1),Catch,9,,,RM,S,,,Under,4,,,,,,,,,,,
1,5,1,12:22,Tied,2,1,+45,Pass,01,"""+2x2+"", shotgun offset R",,,,Cobb (L2),Catch,10,,,LM,S,,,Under,4,,,,,,,,,,,
1,6,1,11:41,Tied,1,10,+35,Run,10,"""+1x2+"", I-form offset L",,Cobb,HB,,,0,,,,,IR,,Under,,,,,,,,,,,,
1,7,1,11:05,Tied,2,10,+35,Pass,12,"""+2x2+"", singleback",TE in,,,Janis (L1),Inc.,0,,"Hard, roll",LS,IS,,,Other Odd,4,,,,,,,,,,,
1,8,1,10:57,Tied,3,10,+35,Pass,01,"""+3x1+"", shotgun offset R",,,,Adams (R1),Catch,6,,,RS,S,,,Over,5,,,,,,,,,,,
1,9,1,10:07,Tied,4,4,+29,Pass,01,"""+3x2+"", shotgun",RB out,,,Nelson (L3),Catch,9,,,LM,S,,,2 Eagle Even,6,,,,,,,,,,,
1,10,1,9:29,Tied,1,10,+20,Pass,10,"""+1x2+"", I-form offset R",,,,Nelson (R2),Inc.,0,,"Hard, roll",RS,S,,,Over,4,,,,,,,,,,,
1,11,1,9:21,Tied,2,10,+20,Pass,00,"""+2x3+"", shotgun",RB out,,,Montgomery (L2),Catch,6,,,LS,S,,,Over,4,,,,,,,,,,,
1,12,1,9:01,Tied,3,4,+14,Pass,00,"""+1x3-"", couple R-, singleback",,,,Cobb (R- CI),Inc.,0,,,RM,D,,,Over,4,,,,,,,,,,,
2,13,1,6:39,Up 3,1,10,-9,Pass,00,"""+3x2+"", shotgun",,,,Janis (L3),"LOS PD, Acho",0,,,LM,S,,,Over,4,,,,,,,,,,,
2,14,1,6:37,Up 3,2,10,-9,Pass,00,"""+1x3-"", bunch R-, shotgun offset L",,,,"Montgomery (L RB, 2)",Catch,12,,,LS,S,,,Over,4,,,,,,,,,,,
2,15,1,5:42,Up 3,1,15,-16,Pass,10,"""+1x3+"", singleback",RB out,,,Janis (R3),Catch,7,,,M,S,,,Over,4,,,,,,,,,,,
2,16,1,5:00,Up 3,2,8,-23,Pass,00,"""+1x3+"", shotgun offset L",,,,Adams (L1),Catch,12,,,LS,IS,,,Under,4,,,,,,,,,,,
2,17,1,4:19,Up 3,1,10,-35,Run,12,"""+2x2+"", singleback",,D. Jackson,,,,1,,,,,IR,,Other Odd,,,,,,,,,,,,
2,18,1,3:39,Up 3,2,9,-36,Pass,12,"""+2x2+"", singleback",TE in,,,Nelson (R1),Inc.,,"DPI, Amos, +44",Hard,LM,D,,,2 Eagle Even,4,,,,,,,,,,,
2,19,1,3:31,Up 3,1,10,+20,Pass,01,"""+1x3+"", shotgun offset R",,,,Cobb (R2),Catch,2,,Soft,WR Screen R,S,,,Over,4,,,,,,,,,,,
2,20,1,2:50,Up 3,2,8,+18,Pass,00,"""+3x1+"", shotgun offset R",,,,"Montgomery (R RB, 2)",Catch,8,,,LM,S,,,Over,5,,,,,,,,,,,
2,21,1,1:53,Up 3,1,10,+10,Run,01,"""-1x3+"", closed L, shotgun offset L",WR bk,Montgomery,,,,7,,,,,M,,Over,,,,,,,,,,,,
2,22,1,1:13,Up 3,2,3,+3,Pass,01,"""-1x2-"", couple R-, I-form offset L",WR bk,,,"Montgomery (L HB, 2)",Inc.,0,,"Hard, roll",RS,S,,,Over,4,,,,,,,,,,,
2,23,1,1:07,Up 3,3,3,+3,Pass,00,"""+2x2+"", shotgun offset R",,,,Janis,Catch,2,,,RS,S,,,2 Eagle Even,4,,,,,,,,,,,
2,24,1,0:21,Up 3,4,1,+1,Run,00,"""-2x1-"", stack L-, I-form offset L",,Montgomery,,,,0,,,,,IL,,Other Even,,,,,,,,,,,,
3,25,2,10:13,Up 3,1,10,-8,Run,11,"""+2x1+"", I-form",,Cobb,HB,,,4,,,,,IL,,Over,,,,,,,,,,,,
