,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,,
Week,Opponent,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass,
1,at IND,1,9:06,Tied,1,10,-20,Pass,11,"""+2x2+"", shotgun offset R",TE in,,,Tate (R1),Catch,11,,Soft,RM,S,,,Other Odd,5,,02,,,,,,,,,
1,at IND,1,8:02,Tied,2,6,-35,Pass,11,"""+3x1"", shotgun offset R",,,,Boldin (L3),Catch,12,"Off. Holding, Tate, -10",,M,S,,,Over,6,,12,,,,,,,,,
1,at IND,1,7:10,Tied,2,6,-47,Pass,11,"""+2x2"", shotgun offset L",,,,Tate (R1),Catch,6,,,RS,S,,,Under,5,,21,,,,,,,,,
1,at IND,1,6:26,Tied,1,10,+47,Pass,11,"""+2x2"", pistol",TE in,,,M. Jones (L1),Inc.,0,,Hard,WR Screen L,S,,,Over,4,,,,,,,,,,,
1,at IND,1,5:31,Tied,1,10,+34,Pass,11,"""-1x3-"", bunch R-, shotgun offset L",,,,"Riddick (L RB, 2)",Catch,13,,,LM,S,,,Other Odd,4,,,,,,,,,,,
1,at IND,1,2:38,Up 7,2,9,-21,Pass,11,"""+2x2+"", shotgun offset L",,,,M. Jones (R1),Inc.,0,,Soft,RS,IS,,,Over,4,,,,,,,,,,,
1,at IND,1,2:32,Up 7,3,9,-21,Pass,11,"""-1x3-"", closed L, bunch R-, shotgun offset R",,,,Tate (BO),Catch,3,,Soft,WR Screen R,S,,,Under,4,,,,,,,,,,,
1,at IND,1,0:37,Up 7,2,11,-17,Pass,11,"""+1x3+"", shotgun offset L",,,,"Riddick (L RB, 2)",Catch,8,,,LM,S,,,Over,4,,,,,,,,,,,
1,at IND,2,13:45,Up 7,2,5,-36,Pass,21,"""+2x2+"", singleback",,,,M. Jones (L1),Catch,27,,Hard,LM,IS,,,Under,4,,,,,,,,,,,
1,at IND,2,13:03,Up 7,1,10,+37,Pass,11,"""+2x2"", shotgun offset R",,,,M. Jones (L1),Inc.,0,,,LS,D,,,Over,4,,,,,,,,,,,
1,at IND,2,12:55,Up 7,2,10,+37,Pass,11,"""+3x1"", shotgun offset R",,,,A. Roberts (L1),Catch,8,,,LM,S,,,Over,4,,,,,,,,,,,
1,at IND,2,12:14,Up 7,3,2,+29,Pass,11,"""-2x2-"", shotgun offset R",WR in,,,Boldin (R1),Catch,3,,,RS,S,,,Over,4,,,,,,,,,,,
1,at IND,2,11:48,Up 7,1,10,+26,Pass,11,"""+3x1+"", shotgun offset R",,,,Throwaway,Inc.,0,,,,,,,Over,4,,,,,,,,,,,
1,at IND,2,11:41,Up 7,2,10,+26,Pass,11,"""+3x1"", shotgun offset R",,,,M. Jones (R1),Inc.,0,,Hard,RS,D,,,Over,4,,,,,,,,,,,
1,at IND,2,11:36,Up 7,3,10,+26,Pass,11,"""+2x2+"", shotgun offset L",,,,"Ebron (R LOS TE, 2)",Catch,13,,,RS,IS,,,Other Even,4,,,,,,,,,,,
1,at IND,2,10:25,Up 7,2,8,+11,Pass,11,"""+3x1-"", shotgun offset R",,,,"Riddick (R RB, 2)",Catch,10,,,RM,S,,,Other Odd,5,,,,,,,,,,,
1,at IND,2,3:20,Up 11,1,10,+49,Pass,12,"""+2x2+"", singleback",TE orbit,,,Ebron (R2),Catch,5,,"Hard, roll",RS,S,,,Under,4,,,,,,,,,,,
1,at IND,2,2:43,Up 11,2,5,+44,Pass,11,"""2x2"", shotgun offset L",,,,M. Jones (R1),Catch,32,,,RS,D,,,Under,4,,,,,,,,,,,
1,at IND,2,1:46,Up 11,2,4,+6,Pass,11,"""2x2+"", shotgun offset L",,,,M. Jones (R1),Inc.,0,,,RM,S,,,Over,6,,,,,,,,,,,
1,at IND,2,1:43,Up 11,3,4,+6,Pass,11,"""1x3+"", shotgun offset L",,,,Ebron (R3),Catch,6,,,LM,S,,,Over,5,,,,,,,,,,,
1,at IND,3,15:00,Up 11,1,10,-25,Pass,11,"""1x3+"", shotgun offset L",,,,"Abdullah (L RB, 2)",Catch,1,,,Swing L,S,,,Other Odd,4,,,,,,,,,,,
1,at IND,3,14:01,Up 11,2,13,-22,Pass,11,"""+2x3+"", shotgun",,,,M. Jones (L1),Catch,4,,,WR Screen L,S,,,2 Eagle Even,4,,,,,,,,,,,
1,at IND,3,13:22,Up 11,3,9,-26,Pass,11,"""1x3-"", bunch R-, shotgun offset L",,,,Tate (BO),Catch,3,,,WR Screen R,S,,,Double A Gap,4,,,,,,,,,,,
1,at IND,3,7:11,Up 3,3,9,-20,Pass,11,"""2x2+"", shotgun offset R",,,,,"Sack, Walden",-8,,,,,,,Other Odd,5,,,,,,,,,,,
1,at IND,3,5:19,Up 3,2,3,-36,Pass,11,"""2x2-"", stack R-, shotgun offset L",,,,"Abdullah (L RB, 3)",Catch,18,"Def. face mask, Walden, +15",,Swing L,S,,,Under,4,,,,,,,,,,,
1,at IND,3,4:02,Up 3,2,11,+32,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Tate (R3),Catch,2,,,WR Screen R,S,,,2 Eagle Even,5,,,,,,,,,,,
1,at IND,3,3:29,Up 3,3,9,+30,Pass,11,"""+2x2"", shotgun offset L",,,,"Abdullah (L RB, 3)",Catch,13,,,RM,S,,,Over,4,,,,,,,,,,,
1,at IND,3,2:54,Up 3,1,10,+17,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Tate (L3),Catch,6,,,WR Screen L,S,,,Over,4,,,,,,,,,,,
1,at IND,3,2:26,Up 3,2,4,+11,Pass,11,"""+2x3+"", shotgun",,,,Abdullah (L1),"Catch, TD",11,,,LS,S,,,Other Odd,4,,,,,,,,,,,
1,at IND,4,13:33,Up 7,2,9,-26,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Wick (R LOS TE, 1)",Catch,5,,,RS,S,,,Over,4,,,,,,,,,,,
1,at IND,4,12:54,Up 7,3,4,-31,Pass,11,"""-3x1"", shotgun offset R",,,,M. Jones (R1),Inc.,0,,,M,S,,,Over,4,,,,,,,,,,,
1,at IND,4,7:46,Tied,2,8,-27,Pass,11,"""+2x2+"", shotgun offset L",,,,Tate (R1),Catch,10,,,RS,S,,,Other Odd,4,,,,,,,,,,,
1,at IND,4,7:20,Tied,1,10,-37,Pass,11,"""+2x2"", shotgun offset L",,,,"Abdullah (L RB, 3)",Catch,14,,,Swing L,S,,,Under,4,,,,,,,,,,,
1,at IND,4,5:05,Tied,2,3,+30,Pass,21,"""+2x1"", shotgun 2 RB",,,,M. Jones (L1),Inc.,,"Off. Holding, Swanson, -10",,LM,D,,,Other Odd,5,,,,,,,,,,,
1,at IND,4,5:00,Tied,2,13,+40,Pass,11,"""-2x2"", shotgun offset L",,,,Boldin (L1),Catch,14,,Hard,WR Screen L,S,,,Double A Gap,4,,,,,,,,,,,
1,at IND,4,4:17,Tied,1,10,+26,Pass,11,"""2x3+"", shotgun",,,,"Ebron (R LOS TE, 3)",Catch,13,,,RS,S,,,Over,4,,,,,,,,,,,
1,at IND,4,4:11,Tied,1,10,+13,Pass,11,"""+2x2+"", shotgun offset L",,,,"Riddick (L RB, 3)","Catch, TD",13,,,RB Screen R,S,,,Under,4,,,,,,,,,,,
1,at IND,4,0:37,Down 1,1,10,-25,Pass,11,"""+2x2+"", shotgun offset L",,,,"Riddick (L RB, 3)",Catch,19,,,M,S,,,Over,4,,,,,,,,,,,
1,at IND,4,0:28,Down 1,1,10,-44,Pass,11,"""2x2+"", shotgun offset R",,,,Ebron (L2),Catch,9,,,LS,S,,,Double A Gap,5,,,,,,,,,,,
1,at IND,4,0:21,Down 1,2,1,+47,Pass,11,"""1x3+"", shotgun offset L",,,,M. Jones (L1),Catch,22,,,LS,IS,,,Over,4,,,,,,,,,,,
1,at IND,4,0:12,Down 1,1,10,+25,Pass,11,"""-3x1-"", shotgun offset R",,,,Throwaway,Inc.,0,,,,,,,Other Odd,5,,,,,,,,,,,
